Serial No.,Degree,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,B.Sc,337,118,4,4.5,4.5,9.65,1,0.92
2,B.Sc,324,107,4,4,4.5,8.87,1,0.76
3,B.Sc,316,104,3,3,3.5,8,1,0.72
4,B.Sc,322,110,3,3.5,2.5,8.67,,0.8
5,B.Sc,314,103,2,2,3,8.21,0,
6,B.Sc,330,115,5,4.5,,,1,0.9
7,B.Sc,321,109,,,4,,1,0.75
8,B.Sc,308,101,2,3,4,7.9,0,0.68
9,B.Sc,,102,1,2,,8,,0.5
10,B.Sc,323,108,,3.5,,,0,0.45
11,B.Sc,325,106,3,3.5,4,,1,0.52
12,B.Sc,327,111,4,4,4.5,9,1,0.84
13,B.Sc,,,4,4,4.5,9.1,1,0.78
14,B.Sc,,,3,4,,8,1,0.62
15,B.Sc,,104,,,2,,,0.61
16,B.Sc,314,,3,3.5,,8.3,,0.54
17,B.Sc,317,107,,4,3,8.7,0,0.66
18,B.Sc,,,3,4,3,8,1,0.65
19,B.Sc,318,110,,4,3,8.8,0,
20,B.Sc,303,102,3,3.5,,,0,0.62
21,B.Sc,312,107,3,3,2,,,0.64
22,B.Sc,325,,,3,2,,0,0.7
23,B.Sc,,116,,5,,9.5,1,0.94
24,B.Sc,334,119,,5,4.5,9.7,1,0.95
25,B.Sc,336,119,,4,3.5,9.8,1,0.97
26,B.Sc,340,120,,4.5,4.5,,1,0.94
27,B.Sc,322,109,,4.5,3.5,8.8,0,0.76
28,B.Sc,,98,,1.5,,,1,0.44
29,B.Sc,295,,1,2,2,7.2,0,0.46
30,B.Sc,310,99,2,1.5,2,7.3,,0.54
31,B.Sc,300,97,2,3,3,,1,
32,B.Sc,,103,3,4,4,8.3,1,0.74
33,B.Sc,338,118,4,3,4.5,9.4,1,0.91
34,B.Sc,340,,5,4,4,9.6,1,0.9
35,B.Sc,,112,5,4,5,,1,
36,B.Sc,320,110,5,5,5,9.2,1,0.88
37,B.Sc,299,106,2,4,4,,,0.64
38,B.Sc,300,105,1,1,2,7.8,0,0.58
39,B.Sc,,105,1,3,1.5,,0,
40,B.Sc,307,108,2,4,3.5,7.7,0,
41,B.Sc,308,,3,3.5,3,,,
42,B.Sc,316,105,2,2.5,2.5,8.2,1,
43,B.Sc,,,2,2.5,2,,1,
44,B.Sc,332,117,4,4.5,4,,,0.87
45,B.Sc,326,113,5,4.5,4,,1,0.91
46,B.Sc,,110,5,5,4,,1,0.88
47,B.Sc,329,114,5,4,5,,1,
48,B.Sc,339,119,5,4.5,4,,0,0.89
49,B.Sc,,110,3,3.5,5,,1,0.82
50,B.Sc,327,111,4,3,4,8.4,1,0.78
51,B.Sc,,98,3,2.5,4.5,8.3,,
52,B.Sc,312,100,2,1.5,3.5,,,0.56
53,B.Sc,334,116,4,4,3,8,,0.78
54,B.Sc,324,112,4,4,2.5,8.1,,
55,B.Sc,322,110,3,3,3.5,,,0.7
56,B.Sc,320,103,3,3,3,7.7,,0.64
57,B.Sc,316,102,3,2,3,7.4,,
58,M.Sc,298,99,2,4,2,,,0.46
59,M.Sc,300,99,1,3,2,,,0.36
60,M.Sc,311,104,2,2,2,8.3,0,0.42
61,M.Sc,309,100,2,3,3,8.1,0,0.48
62,M.Sc,307,101,3,4,3,8.2,0,0.47
63,M.Sc,304,105,2,3,3,8.2,1,0.54
64,M.Sc,315,107,2,4,3,8.5,1,0.56
65,M.Sc,325,111,3,3,3.5,8.7,0,0.52
66,M.Sc,325,112,4,3.5,3.5,8.92,0,
67,M.Sc,327,114,3,3,3,,0,0.61
68,M.Sc,316,107,2,3.5,3.5,8.64,1,0.57
69,M.Sc,318,109,3,3.5,4,,1,0.68
70,M.Sc,328,115,4,4.5,4,9.16,1,0.78
71,M.Sc,332,118,5,5,5,9.64,1,
72,M.Sc,336,112,5,5,5,9.76,1,0.96
73,M.Sc,321,111,5,5,5,9.45,1,0.93
74,M.Sc,314,108,4,4.5,4,9.04,1,0.84
75,M.Sc,314,106,3,3,5,8.9,0,0.74
76,M.Sc,329,114,2,2,4,8.56,1,0.72
77,M.Sc,327,112,3,3,3,8.72,1,0.74
78,M.Sc,301,99,2,3,2,8.22,0,0.64
79,M.Sc,296,95,2,3,2,7.54,1,0.44
80,M.Sc,294,93,1,1.5,2,7.36,0,
81,M.Sc,312,105,3,2,3,8.02,1,0.5
82,M.Sc,340,120,4,5,5,9.5,1,0.96
83,M.Sc,320,110,5,5,4.5,9.22,1,
84,M.Sc,322,115,5,4,4.5,9.36,1,0.92
85,M.Sc,340,115,5,4.5,4.5,9.45,1,
86,M.Sc,319,103,4,4.5,3.5,8.66,0,0.76
87,M.Sc,315,106,3,4.5,3.5,8.42,0,0.72
88,M.Sc,317,107,2,3.5,3,8.28,0,0.66
89,M.Sc,314,108,3,4.5,3.5,8.14,0,0.64
90,M.Sc,316,109,4,4.5,3.5,8.76,1,0.74
91,M.Sc,318,106,2,4,4,7.92,1,
92,M.Sc,299,97,3,5,3.5,7.66,0,0.38
93,B.Sc,298,98,2,4,3,8.03,0,0.34
94,B.Sc,301,97,2,3,3,7.88,1,0.44
95,B.Sc,303,99,3,2,2.5,7.66,0,
96,B.Sc,304,100,4,1.5,2.5,7.84,0,0.42
97,B.Sc,306,100,2,3,3,8,0,
98,B.Sc,331,120,3,4,4,8.96,1,0.86
99,B.Sc,332,119,4,5,4.5,9.24,1,0.9
100,B.Sc,323,113,3,4,4,8.88,1,0.79
101,B.Sc,322,107,,3.5,3.5,8.46,1,0.71
102,B.Sc,312,105,,2.5,3,8.12,0,0.64
103,B.Sc,314,106,,4,3.5,8.25,0,0.62
104,B.Sc,317,104,2,4.5,4,8.47,0,0.57
105,B.Sc,,112,3,3.5,3,9.05,1,0.74
106,B.Sc,,110,3,4,4.5,8.78,1,
107,B.Sc,,111,4,,4.5,9.18,1,
108,B.Sc,,117,4,,4.5,9.46,1,0.91
109,B.Sc,,116,5,,5,9.38,1,0.93
110,B.Sc,304,103,5,5,4,8.64,0,
111,B.Sc,305,108,5,3,3,8.48,0,0.61
112,B.Sc,321,109,4,4,4,8.68,1,0.69
113,B.Sc,301,,3,3.5,3.5,8.34,1,0.62
114,B.Sc,320,,2,4,3.5,8.56,0,
115,M.Sc,311,,3,3.5,3,8.45,1,0.59
116,M.Sc,310,,4,4.5,4.5,9.04,1,0.66
117,M.Sc,299,102,3,4,3.5,8.62,0,0.56
118,M.Sc,290,104,4,2,2.5,7.46,0,0.45
119,M.Sc,296,99,2,3,3.5,7.28,0,
120,M.Sc,327,104,5,3,3.5,8.84,1,0.71
121,M.Sc,335,117,5,5,5,9.56,1,0.94
122,M.Sc,334,119,5,4.5,4.5,9.48,1,0.94
123,M.Sc,310,106,4,1.5,2.5,8.36,0,0.57
124,M.Sc,308,108,3,3.5,3.5,8.22,0,0.61
125,M.Sc,301,106,4,2.5,3,8.47,0,
126,M.Sc,300,100,3,2,3,8.66,1,0.64
127,M.Sc,323,113,3,4,3,9.32,1,0.85
128,M.Sc,319,112,3,2.5,2,8.71,1,0.78
129,B.Sc,326,112,3,3.5,3,9.1,1,0.84
130,B.Sc,333,118,5,5,5,9.35,1,0.92
131,B.Sc,339,114,5,4,4.5,9.76,1,
132,B.Sc,303,105,5,5,4.5,8.65,0,0.77
133,B.Sc,309,105,5,3.5,3.5,8.56,0,0.71
134,B.Sc,323,112,5,4,4.5,8.78,0,0.79
135,B.Sc,333,113,5,4,4,9.28,1,
136,B.Sc,314,109,4,3.5,4,8.77,1,0.82
137,B.Sc,312,103,3,5,4,8.45,0,0.76
138,B.Sc,316,100,2,1.5,3,8.16,1,0.71
139,B.Sc,326,116,2,4.5,3,9.08,1,0.8
140,M.Sc,318,109,1,3.5,3.5,9.12,0,0.78
141,M.Sc,329,110,2,4,3,9.15,1,0.84
142,M.Sc,332,118,2,4.5,3.5,9.36,1,
143,M.Sc,331,115,5,4,3.5,9.44,1,0.92
144,M.Sc,340,120,4,4.5,4,9.92,1,
145,M.Sc,325,112,2,3,3.5,8.96,1,0.8
146,M.Sc,320,113,2,2,2.5,8.64,1,0.81
147,M.Sc,315,105,3,2,2.5,8.48,0,0.75
148,M.Sc,326,114,3,3,3,9.11,1,0.83
149,M.Sc,339,116,4,4,3.5,9.8,1,0.96
150,M.Sc,311,106,2,3.5,3,8.26,1,
151,M.Sc,334,114,4,4,4,9.43,1,0.93
152,M.Sc,332,116,5,5,5,9.28,1,0.94
153,M.Sc,321,112,5,5,5,9.06,1,
154,B.Sc,324,105,3,3,4,8.75,0,
155,B.Sc,326,108,3,3,3.5,8.89,0,0.8
156,B.Sc,312,109,3,3,3,8.69,0,
157,B.Sc,315,105,3,2,2.5,8.34,0,0.7
158,B.Sc,309,104,2,2,2.5,8.26,0,
159,B.Sc,306,106,2,2,2.5,8.14,0,0.61
160,B.Sc,297,100,1,1.5,2,7.9,0,0.52
161,B.Sc,315,103,1,1.5,2,7.86,0,0.57
162,B.Sc,298,99,1,1.5,3,7.46,0,0.53
163,B.Sc,318,109,3,3,3,8.5,0,0.67
164,B.Sc,317,105,3,3.5,3,8.56,0,0.68
165,B.Sc,329,111,4,4.5,4,9.01,1,0.81
166,B.Sc,322,110,5,4.5,4,8.97,0,0.78
167,B.Sc,302,102,3,3.5,5,8.33,0,0.65
168,B.Sc,313,102,3,2,3,8.27,0,0.64
169,B.Sc,293,97,2,2,4,7.8,1,0.64
170,B.Sc,311,99,2,2.5,3,7.98,0,0.65
171,B.Sc,312,101,2,2.5,3.5,8.04,1,0.68
172,B.Sc,334,117,5,4,4.5,9.07,1,0.89
173,B.Sc,322,110,4,4,5,9.13,1,0.86
174,B.Sc,323,113,4,4,4.5,9.23,1,0.89
175,B.Sc,321,111,4,4,4,8.97,1,
176,B.Sc,320,111,4,4.5,3.5,8.87,1,0.85
177,B.Sc,329,119,4,4.5,4.5,9.16,1,0.9
178,B.Sc,319,110,3,3.5,3.5,9.04,0,0.82
179,B.Sc,309,108,3,2.5,3,8.12,0,0.72
180,B.Sc,307,102,3,3,3,8.27,0,0.73
181,M.Sc,300,104,3,3.5,3,8.16,0,0.71
182,M.Sc,305,107,2,2.5,2.5,8.42,0,0.71
183,M.Sc,299,100,2,3,3.5,7.88,0,0.68
184,M.Sc,314,110,3,4,4,8.8,0,0.75
185,M.Sc,316,106,2,2.5,4,8.32,0,0.72
186,M.Sc,327,113,4,4.5,4.5,9.11,1,0.89
187,M.Sc,317,107,3,3.5,3,8.68,1,0.84
188,M.Sc,335,118,5,4.5,3.5,9.44,1,0.93
189,M.Sc,331,115,5,4.5,3.5,9.36,1,0.93
190,M.Sc,324,112,5,5,5,9.08,1,0.88
191,M.Sc,324,111,5,4.5,4,9.16,1,0.9
192,M.Sc,323,110,5,4,5,8.98,1,0.87
193,M.Sc,322,114,5,4.5,4,8.94,1,0.86
194,M.Sc,336,118,5,4.5,5,9.53,1,0.94
195,B.Sc,316,109,3,3.5,3,8.76,0,0.77
196,B.Sc,307,107,2,3,3.5,8.52,1,0.78
197,B.Sc,306,105,2,3,2.5,8.26,0,0.73
198,B.Sc,310,106,2,3.5,2.5,8.33,0,0.73
199,B.Sc,311,104,3,4.5,4.5,8.43,0,0.7
200,B.Sc,313,107,3,4,4.5,8.69,0,0.72
201,B.Sc,317,103,3,2.5,3,8.54,1,0.73
202,B.Sc,315,110,2,3.5,3,8.46,1,0.72
203,B.Sc,340,120,5,4.5,4.5,9.91,1,0.97
204,B.Sc,334,120,5,4,5,9.87,1,0.97
205,B.Sc,298,105,3,3.5,4,8.54,0,0.69
206,B.Sc,295,99,2,2.5,3,7.65,0,0.57
207,B.Sc,315,99,2,3.5,3,7.89,0,0.63
208,B.Sc,310,102,3,3.5,4,8.02,1,0.66
209,B.Sc,305,106,2,3,3,8.16,0,0.64
210,B.Sc,301,104,3,3.5,4,8.12,1,0.68
211,B.Sc,325,108,4,4.5,4,9.06,1,0.79
212,B.Sc,328,110,4,5,4,9.14,1,0.82
213,B.Sc,338,120,4,5,5,9.66,1,0.95
214,B.Sc,333,119,5,5,4.5,9.78,1,0.96
215,B.Sc,331,117,4,4.5,5,9.42,1,0.94
216,B.Sc,330,116,5,5,4.5,9.36,1,0.93
217,B.Sc,322,112,4,4.5,4.5,9.26,1,0.91
218,B.Sc,321,109,4,4,4,9.13,1,0.85
219,B.Sc,324,110,4,3,3.5,8.97,1,0.84
220,B.Sc,312,104,3,3.5,3.5,8.42,0,0.74
221,B.Sc,313,103,3,4,4,8.75,0,0.76
222,B.Sc,316,110,3,3.5,4,8.56,0,0.75
223,B.Sc,324,113,4,4.5,4,8.79,0,0.76
224,B.Sc,308,109,2,3,4,8.45,0,0.71
225,B.Sc,305,105,2,3,2,8.23,0,0.67
226,B.Sc,296,99,2,2.5,2.5,8.03,0,0.61
227,B.Sc,306,110,2,3.5,4,8.45,0,0.63
228,B.Sc,312,110,2,3.5,3,8.53,0,0.64
229,B.Sc,318,112,3,4,3.5,8.67,0,0.71
230,B.Sc,324,111,4,3,3,9.01,1,0.82
231,B.Sc,313,104,3,4,4.5,8.65,0,0.73
232,B.Sc,319,106,3,3.5,2.5,8.33,1,0.74
233,B.Sc,312,107,2,2.5,3.5,8.27,0,0.69
234,B.Sc,304,100,2,2.5,3.5,8.07,0,0.64
235,B.Sc,330,113,5,5,4,9.31,1,0.91
236,M.Sc,326,111,5,4.5,4,9.23,1,0.88
237,M.Sc,325,112,4,4,4.5,9.17,1,0.85
238,M.Sc,329,114,5,4.5,5,9.19,1,0.86
239,M.Sc,310,104,3,2,3.5,8.37,0,0.7
240,M.Sc,299,100,1,1.5,2,7.89,0,0.59
241,M.Sc,296,101,1,2.5,3,7.68,0,0.6
242,M.Sc,317,103,2,2.5,2,8.15,0,0.65
243,M.Sc,324,115,3,3.5,3,8.76,1,0.7
244,M.Sc,325,114,3,3.5,3,9.04,1,0.76
245,M.Sc,314,107,2,2.5,4,8.56,0,0.63
246,M.Sc,328,110,4,4,2.5,9.02,1,0.81
247,M.Sc,316,105,3,3,3.5,8.73,0,0.72
248,M.Sc,311,104,2,2.5,3.5,8.48,0,0.71
249,M.Sc,324,110,3,3.5,4,8.87,1,0.8
250,B.Sc,321,111,3,3.5,4,8.83,1,0.77
251,B.Sc,320,104,3,3,2.5,8.57,1,0.74
252,B.Sc,316,99,2,2.5,3,9,0,0.7
253,B.Sc,318,100,2,2.5,3.5,8.54,1,0.71
254,B.Sc,335,115,4,4.5,4.5,9.68,1,0.93
255,B.Sc,321,114,4,4,5,9.12,0,0.85
256,B.Sc,307,110,4,4,4.5,8.37,0,0.79
257,B.Sc,309,99,3,4,4,8.56,0,0.76
258,B.Sc,324,100,3,4,5,8.64,1,0.78
259,B.Sc,326,102,4,5,5,8.76,1,0.77
260,B.Sc,331,119,4,5,4.5,9.34,1,0.9
261,B.Sc,327,108,5,5,3.5,9.13,1,0.87
262,B.Sc,312,104,3,3.5,4,8.09,0,0.71
263,B.Sc,308,103,2,2.5,4,8.36,1,0.7
264,B.Sc,324,111,3,2.5,1.5,8.79,1,0.7
265,M.Sc,325,110,2,3,2.5,8.76,1,0.75
266,M.Sc,313,102,3,2.5,2.5,8.68,0,0.71
267,M.Sc,312,105,2,2,2.5,8.45,0,0.72
268,M.Sc,314,107,3,3,3.5,8.17,1,0.73
269,M.Sc,327,113,4,4.5,5,9.14,0,0.83
270,M.Sc,308,108,4,4.5,5,8.34,0,0.77
271,M.Sc,306,105,2,2.5,3,8.22,1,0.72
272,M.Sc,299,96,2,1.5,2,7.86,0,0.54
273,M.Sc,294,95,1,1.5,1.5,7.64,0,0.49
274,M.Sc,312,99,1,1,1.5,8.01,1,0.52
275,M.Sc,315,100,1,2,2.5,7.95,0,0.58
276,M.Sc,322,110,3,3.5,3,8.96,1,0.78
277,M.Sc,329,113,5,5,4.5,9.45,1,0.89
278,M.Sc,320,101,2,2.5,3,8.62,0,0.7
279,B.Sc,308,103,2,3,3.5,8.49,0,0.66
280,B.Sc,304,102,2,3,4,8.73,0,0.67
281,B.Sc,311,102,3,4.5,4,8.64,1,0.68
282,B.Sc,317,110,3,4,4.5,9.11,1,0.8
283,B.Sc,312,106,3,4,3.5,8.79,1,0.81
284,B.Sc,321,111,3,2.5,3,8.9,1,0.8
285,M.Sc,340,112,4,5,4.5,9.66,1,0.94
286,M.Sc,331,116,5,4,4,9.26,1,0.93
287,M.Sc,336,118,5,4.5,4,9.19,1,0.92
288,M.Sc,324,114,5,5,4.5,9.08,1,0.89
289,M.Sc,314,104,4,5,5,9.02,0,0.82
290,M.Sc,313,109,3,4,3.5,9,0,0.79
291,M.Sc,307,105,2,2.5,3,7.65,0,0.58
292,M.Sc,300,102,2,1.5,2,7.87,0,0.56
293,M.Sc,302,99,2,1,2,7.97,0,0.56
294,M.Sc,312,98,1,3.5,3,8.18,1,0.64
295,M.Sc,316,101,2,2.5,2,8.32,1,0.61
296,M.Sc,317,100,2,3,2.5,8.57,0,0.68
297,M.Sc,310,107,3,3.5,3.5,8.67,0,0.76
298,M.Sc,320,120,3,4,4.5,9.11,0,0.86
299,B.Sc,330,114,3,4.5,4.5,9.24,1,0.9
300,B.Sc,305,112,3,3,3.5,8.65,0,0.71
301,B.Sc,309,106,2,2.5,2.5,8,0,0.62
302,B.Sc,319,108,2,2.5,3,8.76,0,0.66
303,B.Sc,322,105,2,3,3,8.45,1,0.65
304,B.Sc,323,107,3,3.5,3.5,8.55,1,0.73
305,B.Sc,313,106,2,2.5,2,8.43,0,0.62
306,B.Sc,321,109,3,3.5,3.5,8.8,1,0.74
307,B.Sc,323,110,3,4,3.5,9.1,1,0.79
308,B.Sc,325,112,4,4,4,9,1,0.8
309,B.Sc,312,108,3,3.5,3,8.53,0,0.69
310,B.Sc,308,110,4,3.5,3,8.6,0,0.7
311,B.Sc,320,104,3,3,3.5,8.74,1,0.76
312,B.Sc,328,108,4,4.5,4,9.18,1,0.84
313,B.Sc,311,107,4,4.5,4.5,9,1,0.78
314,B.Sc,301,100,3,3.5,3,8.04,0,0.67
315,B.Sc,305,105,2,3,4,8.13,0,0.66
316,B.Sc,308,104,2,2.5,3,8.07,0,0.65
317,B.Sc,298,101,2,1.5,2,7.86,0,0.54
318,B.Sc,300,99,1,1,2.5,8.01,0,0.58
319,B.Sc,324,111,3,2.5,2,8.8,1,0.79
320,B.Sc,327,113,4,3.5,3,8.69,1,0.8
321,M.Sc,317,106,3,4,3.5,8.5,1,0.75
322,M.Sc,323,104,3,4,4,8.44,1,0.73
323,M.Sc,314,107,2,2.5,4,8.27,0,0.72
324,M.Sc,305,102,2,2,2.5,8.18,0,0.62
325,M.Sc,315,104,3,3,2.5,8.33,0,0.67
326,M.Sc,326,116,3,3.5,4,9.14,1,0.81
327,M.Sc,299,100,3,2,2,8.02,0,0.63
328,M.Sc,295,101,2,2.5,2,7.86,0,0.69
329,M.Sc,324,112,4,4,3.5,8.77,1,0.8
330,M.Sc,297,96,2,2.5,1.5,7.89,0,0.43
331,M.Sc,327,113,3,3.5,3,8.66,1,0.8
332,M.Sc,311,105,2,3,2,8.12,1,0.73
333,M.Sc,308,106,3,3.5,2.5,8.21,1,0.75
334,M.Sc,319,108,3,3,3.5,8.54,1,0.71
335,B.Sc,312,107,4,4.5,4,8.65,1,0.73
336,B.Sc,325,111,4,4,4.5,9.11,1,0.83
337,B.Sc,319,110,3,3,2.5,8.79,0,0.72
338,B.Sc,332,118,5,5,5,9.47,1,0.94
339,B.Sc,323,108,5,4,4,8.74,1,0.81
340,B.Sc,324,107,5,3.5,4,8.66,1,0.81
341,B.Sc,312,107,3,3,3,8.46,1,0.75
342,B.Sc,326,110,3,3.5,3.5,8.76,1,0.79
343,B.Sc,308,106,3,3,3,8.24,0,0.58
344,B.Sc,305,103,2,2.5,3.5,8.13,0,0.59
345,B.Sc,295,96,2,1.5,2,7.34,0,0.47
346,B.Sc,316,98,1,1.5,2,7.43,0,0.49
347,B.Sc,304,97,2,1.5,2,7.64,0,0.47
348,B.Sc,299,94,1,1,1,7.34,0,0.42
349,B.Sc,302,99,1,2,2,7.25,0,0.57
350,B.Sc,313,101,3,2.5,3,8.04,0,0.62
351,B.Sc,318,107,3,3,3.5,8.27,1,0.74
352,B.Sc,325,110,4,3.5,4,8.67,1,0.73
353,B.Sc,303,100,2,3,3.5,8.06,1,0.64
354,B.Sc,300,102,3,3.5,2.5,8.17,0,0.63
355,B.Sc,297,98,2,2.5,3,7.67,0,0.59
356,B.Sc,317,106,2,2,3.5,8.12,0,0.73
357,M.Sc,327,109,3,3.5,4,8.77,1,0.79
358,M.Sc,301,104,2,3.5,3.5,7.89,1,0.68
359,M.Sc,314,105,2,2.5,2,7.64,0,0.7
360,M.Sc,321,107,2,2,1.5,8.44,0,0.81
361,M.Sc,322,110,3,4,5,8.64,1,0.85
362,M.Sc,334,116,4,4,3.5,9.54,1,0.93
363,M.Sc,338,115,5,4.5,5,9.23,1,0.91
364,M.Sc,306,103,2,2.5,3,8.36,0,0.69
365,M.Sc,313,102,3,3.5,4,8.9,1,0.77
366,M.Sc,330,114,4,4.5,3,9.17,1,0.86
367,M.Sc,320,104,3,3.5,4.5,8.34,1,0.74
368,M.Sc,311,98,1,1,2.5,7.46,0,0.57
369,M.Sc,298,92,1,2,2,7.88,0,0.51
370,M.Sc,301,98,1,2,3,8.03,1,0.67
371,M.Sc,310,103,2,2.5,2.5,8.24,0,0.72
372,M.Sc,324,110,3,3.5,3,9.22,1,0.89
373,M.Sc,336,119,4,4.5,4,9.62,1,0.95
374,M.Sc,321,109,3,3,3,8.54,1,0.79
375,M.Sc,315,105,2,2,2.5,7.65,0,0.39
376,M.Sc,304,101,2,2,2.5,7.66,0,0.38
377,M.Sc,297,96,2,2.5,2,7.43,0,0.34
378,M.Sc,290,100,1,1.5,2,7.56,0,0.47
379,M.Sc,303,98,1,2,2.5,7.65,0,0.56
380,M.Sc,311,99,1,2.5,3,8.43,1,0.71
381,M.Sc,322,104,3,3.5,4,8.84,1,0.78
382,M.Sc,319,105,3,3,3.5,8.67,1,0.73
383,M.Sc,324,110,4,4.5,4,9.15,1,0.82
384,M.Sc,300,100,3,3,3.5,8.26,0,0.62
385,M.Sc,340,113,4,5,5,9.74,1,0.96
386,M.Sc,335,117,5,5,5,9.82,1,0.96
387,M.Sc,302,101,2,2.5,3.5,7.96,0,0.46
388,M.Sc,307,105,2,2,3.5,8.1,0,0.53
389,M.Sc,296,97,2,1.5,2,7.8,0,0.49
390,M.Sc,320,108,3,3.5,4,8.44,1,0.76
391,M.Sc,314,102,2,2,2.5,8.24,0,0.64
392,M.Sc,318,106,3,2,3,8.65,0,0.71
393,M.Sc,326,112,4,4,3.5,9.12,1,0.84
394,M.Sc,317,104,2,3,3,8.76,0,0.77
395,M.Sc,329,111,4,4.5,4,9.23,1,0.89
396,M.Sc,324,110,3,3.5,3.5,9.04,1,0.82
397,M.Sc,325,107,3,3,3.5,9.11,1,0.84
398,M.Sc,330,116,4,5,4.5,9.45,1,0.91
399,B.Sc,312,103,3,3.5,4,8.78,0,0.67
400,,333,117,4,5,4,9.66,1,0.95